,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
83,incomp,Cued,prime_left.png,target_right.png,,l,right,5.0,1,136,False,0.0,0,0.0,,,,
84,incomp,Cued,prime_left.png,target_right.png,,l,right,-5.0,1,123,False,0.0,0,0.0,,,,
85,incomp,Free,prime_left.png,target_both.png,,dl,right,5.0,1,130,False,0.0,0,0.0,,,,
86,comp,Cued,prime_right.png,target_right.png,,l,right,5.0,1,105,False,0.0,0,0.0,,,,
87,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,119,False,0.0,0,0.0,,,,
88,incomp,Cued,prime_left.png,target_right.png,,l,right,-5.0,1,115,False,0.0,0,0.0,,,,
89,comp,Cued,prime_left.png,target_left.png,,d,left,-5.0,1,126,False,0.0,0,0.0,,,,
90,comp,Cued,prime_left.png,target_left.png,,d,left,-5.0,1,110,False,0.0,0,0.0,,,,
91,comp,Cued,prime_right.png,target_right.png,,l,right,5.0,1,119,False,0.0,0,0.0,,,,
92,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,100,False,0.0,0,0.0,,,,
93,incomp,Cued,prime_right.png,target_left.png,,d,left,-5.0,1,103,False,0.0,0,0.0,,,,
94,incomp,Cued,prime_right.png,target_left.png,,d,left,5.0,1,135,False,0.0,0,0.0,,,,
95,comp,Cued,prime_right.png,target_right.png,,l,right,-5.0,1,137,False,0.0,0,0.0,,,,
96,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,141,False,0.0,0,0.0,,,,
97,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,134,False,0.0,0,0.0,,,,
98,comp,Cued,prime_left.png,target_left.png,,d,left,-5.0,1,101,False,0.0,0,0.0,,,,
99,comp,Free,prime_left.png,target_both.png,,dl,left,-5.0,1,102,False,0.0,0,0.0,,,,
100,comp,Cued,prime_left.png,target_left.png,,d,left,-5.0,1,117,False,0.0,0,0.0,,,,
101,incomp,Cued,prime_left.png,target_right.png,,l,right,5.0,1,147,False,0.0,0,0.0,,,,
102,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,114,False,0.0,0,0.0,,,,
103,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,123,False,0.0,0,0.0,,,,
104,incomp,Cued,prime_right.png,target_left.png,,d,left,-5.0,1,133,False,0.0,0,0.0,,,,
